20230924	16:42:47	85d7e48a-9b97-466d-ac10-7a8c101239b3	GET 	 / 	 ::1	 undefined
20230924	16:42:47	f7ca3260-a8c7-4145-bd2f-45c1e22e1bd6	GET 	 /css/style.css 	 ::1	 undefined
20230924	16:57:51	00787916-2db3-4662-8816-4706c6f944f2	GET 	 / 	 ::1	 undefined
20230924	16:57:51	1716f859-9afc-4b1d-88c8-c43cefaf24b7	GET 	 /css/style.css 	 ::1	 undefined
20230924	17:03:41	c204fd01-c0de-498e-9995-0be6eeb2e383	OPTIONS 	 / 	 ::1	 https://www.google.com
20230924	17:03:41	bcdc769d-c80b-4116-a260-561f3f5636ff	GET 	 / 	 ::1	 https://www.google.com
20230924	17:05:30	875065ed-5bc3-4815-a25f-4603ec13d801	GET 	 / 	 ::1	 https://www.google.com
20230924	17:29:04	641c8b0b-46f6-4889-8dbb-9efb1e44b65f	OPTIONS 	 / 	 ::1	 https://www.google.com
20230924	17:29:04	fbc101a2-9cea-4154-a8fd-6b7cb60d0dd9	GET 	 / 	 ::1	 https://www.google.com
20230924	17:32:29	28d08f65-7852-415d-8689-08691eb525a9	GET 	 / 	 ::1	 https://www.google.com
20230924	18:31:33	b39a98ae-c54f-4624-8f10-bc4e14e97751	GET 	 / 	 ::1	 undefined
20230924	18:31:33	a82a75a5-0e56-4b4c-be85-03a3086c92f6	GET 	 /css/style.css 	 ::1	 undefined
20230924	18:35:21	f8356901-b7b6-4cca-a102-570de958c286	GET 	 / 	 ::1	 undefined
20230924	18:35:21	be1441b3-39e2-4852-821d-9bb17df7101e	GET 	 /css/style.css 	 ::1	 undefined
20230924	18:42:13	80b3d797-a709-4d96-b09b-9a0f3257361a	GET 	 / 	 ::1	 undefined
20230924	18:42:13	6f8859f6-0841-489f-b2da-d686389e736c	GET 	 /css/style.css 	 ::1	 undefined
20230924	19:27:12	2e65f5f6-e91b-4945-9592-6c6960081bea	GET 	 /gerald 	 ::1	 undefined
20230924	19:27:12	26a5b187-e3ae-420e-a2b7-a44cbc16481e	GET 	 /css/style.css 	 ::1	 undefined
20230924	20:06:26	1584ff19-f92d-4e72-9ac6-eb462bb796b9	GET 	 /gerald 	 ::1	 undefined
20230924	20:07:04	b8cca856-d258-4158-9ffc-af241e4d02d2	GET 	 /gerald 	 ::1	 undefined
20230924	20:07:04	fd3dbc23-f5a0-435c-9954-aab06dfa8998	GET 	 /css/style.css 	 ::1	 undefined
20230924	21:10:52	e1e31dd6-7fc0-46c9-bf49-4c8db034259a	GET 	 /subdir 	 ::1	 undefined
20230924	21:10:52	0bc48a38-8861-4198-a02b-8e84e61dc700	GET 	 /css/style.css 	 ::1	 undefined
20230924	21:11:27	daa1e762-5cf8-4d45-93e8-3a2a09b74a36	GET 	 /subdir/index.html 	 ::1	 undefined
20230924	21:11:27	20ef4439-2957-4296-9c4c-41044d413f47	GET 	 /subdir/css/style.css 	 ::1	 undefined
20230924	21:11:54	ae6829e7-3ff0-40f2-a133-5bdebcbcdc33	GET 	 /subdir/index.html 	 ::1	 undefined
20230924	21:11:54	9d0b06be-9312-480b-9c13-23b8b74505b4	GET 	 /subdir/css/style.css 	 ::1	 undefined
20230924	21:12:21	3d7fa056-97bd-4d7e-9f9e-d35ebc0fc992	GET 	 /subdir 	 ::1	 undefined
20230924	21:12:21	7db32a9d-3b21-4e14-b972-54e349c50ec5	GET 	 /css/style.css 	 ::1	 undefined
20230924	21:12:47	4912a59d-4086-4aee-9db1-8b871c083b17	GET 	 /subdir 	 ::1	 undefined
20230924	21:12:47	b10ae5a7-9ea4-4705-a048-86a37a1c9034	GET 	 /css/style.css 	 ::1	 undefined
20230924	21:12:48	bdce8ae7-e0c7-4208-8f7b-238499ede063	GET 	 /subdir 	 ::1	 undefined
20230924	21:12:48	525df0cf-f108-4160-ad27-960ccd8681d2	GET 	 /css/style.css 	 ::1	 undefined
20230924	21:13:05	5afa36f2-6ce3-4909-8038-32795f2e9cf8	GET 	 /subdir 	 ::1	 undefined
20230924	21:13:05	9759a6f1-814f-461a-968c-fd153737acae	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:05:29	d3972179-c3fa-49c7-90fc-746ee1e7da9c	GET 	 /subdir 	 ::1	 undefined
20230924	23:05:29	ef614c71-92dc-4e7c-a599-49ccca993cae	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:05:30	593ad6dd-12f5-4ae4-b4d2-8c4eeedbddf6	GET 	 /subdir 	 ::1	 undefined
20230924	23:05:30	6a08a9ad-b3d0-405d-987a-0a2eda506df7	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:05:39	73c20f95-326b-44af-a185-03fa436c6dd4	GET 	 /subdir/index.html 	 ::1	 undefined
20230924	23:05:39	f9f1cf1f-1a75-4084-9954-fa1a4b883d4f	GET 	 /subdir/css/style.css 	 ::1	 undefined
20230924	23:08:30	53b6678d-a8b5-4301-a4dd-88650a64d240	GET 	 /subdir/ 	 ::1	 undefined
20230924	23:08:30	fded5bd9-adb1-4d07-9f5a-7210b76ed506	GET 	 /subdir/css/style.css 	 ::1	 undefined
20230924	23:08:39	f76bcc2c-140a-476f-ae0b-c269913b9c44	GET 	 /subdir 	 ::1	 undefined
20230924	23:08:39	61ce0b73-7675-42b8-aa63-85a7c249ff58	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:09:42	d263fc57-4b53-4b89-bc3d-7c20d42a0e64	GET 	 /subdir 	 ::1	 undefined
20230924	23:09:42	cb496c9e-e9f1-4f20-b116-11498b366ec5	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:09:43	888c42ee-5ab4-45f7-a984-b6904ff81d68	GET 	 /subdir 	 ::1	 undefined
20230924	23:09:43	21361748-e951-416a-8063-ebc5d24a31e5	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:09:43	4dd46dc0-100b-427a-9827-84f058a31b54	GET 	 /subdir 	 ::1	 undefined
20230924	23:09:43	9ba9e4c8-aef5-46f3-b67c-03509bae9e57	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:09:43	eb0286cb-68b5-42d2-8c8e-102febdbe10c	GET 	 /subdir 	 ::1	 undefined
20230924	23:09:43	865ba7af-3908-4531-9212-70d01ac5fc53	GET 	 /css/style.css 	 ::1	 undefined
20230924	23:09:44	4d7dfe2a-237c-4bd6-a8eb-d9d0b1fef3cb	GET 	 /subdir 	 ::1	 undefined
20230924	23:09:44	4bd61e61-b04f-405e-922e-fef50d1c8e0b	GET 	 /css/style.css 	 ::1	 undefined
